id,url,speaker,title,date
3,https://www.ted.com/talks/martin_ford_how_we_ll_earn_money_in_a_future_without_jobs,Martin Ford,How we'll earn money in a future without jobs,Oct 2017
3,https://www.ted.com/talks/rocio_lorenzo_want_a_more_innovative_company_hire_more_women,Rocío Lorenzo,How diversity makes teams more innovative,Oct 2017
3,https://www.ted.com/talks/anjan_sundaram_why_i_risked_my_life_to_expose_a_government_massacre,Anjan Sundaram,Why I risked my life to expose a government massacre,Oct 2017
3,https://www.ted.com/talks/naomi_mcdougall_jones_what_it_s_like_to_be_a_woman_in_hollywood,Naomi McDougall Jones,What it's like to be a woman in Hollywood,Oct 2017
3,https://www.ted.com/talks/mike_kinney_a_pro_wrestler_s_guide_to_confidence,Mike Kinney,A pro wrestler's guide to confidence,Oct 2017
3,https://www.ted.com/talks/gus_casely_hayford_the_powerful_stories_that_shaped_africa,Gus Casely-Hayford,The powerful stories that shaped Africa,Oct 2017
3,https://www.ted.com/talks/huang_yi_kuka_a_human_robot_dance_duet,Huang Yi,A human-robot dance duet,Oct 2017
3,https://www.ted.com/talks/chris_sheldrick_a_precise_three_word_address_for_every_place_on_earth,Chris Sheldrick,A precise, three-word address for every place on earth,Oct 2017
3,https://www.ted.com/talks/uldus_bakhtiozina_portraits_that_transform_people_into_whatever_they_want_to_be,Uldus Bakhtiozina,Portraits that transform people into whatever they want to be,Oct 2017
3,https://www.ted.com/talks/margrethe_vestager_the_new_age_of_corporate_monopolies,Margrethe Vestager,The new age of corporate monopolies,Oct 2017
3,https://www.ted.com/talks/elizabeth_wayne_we_can_hack_our_immune_cells_to_fight_cancer,Elizabeth Wayne,We can hack our immune cells to fight cancer,Oct 2017
3,https://www.ted.com/talks/kristin_poinar_what_s_hidden_under_the_greenland_ice_sheet,Kristin Poinar,What's hidden under the Greenland ice sheet?,Oct 2017
3,https://www.ted.com/talks/paul_tasner_how_i_became_an_entrepreneur_at_66,Paul Tasner,How I became an entrepreneur at 66,Oct 2017
3,https://www.ted.com/talks/elif_shafak_the_revolutionary_power_of_diverse_thought,Elif Shafak,The revolutionary power of diverse thought,Oct 2017
3,https://www.ted.com/talks/sara_dewitt_3_fears_about_screen_time_for_kids_and_why_they_re_not_true,Sara DeWitt,3 fears about screen time for kids — and why they're not true,Oct 2017
3,https://www.ted.com/talks/david_lee_why_jobs_of_the_future_won_t_feel_like_work,David Lee,Why jobs of the future won't feel like work,Oct 2017
3,https://www.ted.com/talks/eric_dyer_the_forgotten_art_of_the_zoetrope,Eric Dyer,The forgotten art of the zoetrope,Oct 2017
3,https://www.ted.com/talks/greg_gage_electrical_experiments_with_plants_that_count_and_communicate,Greg Gage,Electrical experiments with plants that count and communicate,Oct 2017
3,https://www.ted.com/talks/chika_ezeanya_esiobu_how_africa_can_use_its_traditional_knowledge_to_make_progress,Chika Ezeanya-Esiobu,How Africa can use its traditional knowledge to make progress,Oct 2017
3,https://www.ted.com/talks/christiane_amanpour_how_to_seek_truth_in_the_era_of_fake_news,Christiane Amanpour and Chris Anderson,How to seek truth in the era of fake news,Oct 2017
3,https://www.ted.com/talks/sara_menker_a_global_food_crisis_may_be_only_a_decade_away,Sara Menker,A global food crisis may be less than a decade away,Oct 2017
